tipo,titulo,diretor,pais,categoria,continente
Movie,Sankofa,Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","Dramas, Independent Movies, International Movies",North America
TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,"British TV Shows, Reality TV",Europe
Movie,The Starling,Theodore Melfi,United States,"Comedies, Dramas",North America
Movie,Je Suis Karl,Christian Schwochow,"Germany, Czech Republic","Dramas, International Movies",Europe
Movie,Jeans,S. Shankar,India,"Comedies, International Movies, Romantic Movies",Asia
Movie,Grown Ups,Dennis Dugan,United States,Comedies,North America
Movie,Dark Skies,Scott Stewart,United States,"Horror Movies, Sci-Fi & Fantasy",North America
Movie,Paranoia,Robert Luketic,"United States, India, France",Thrillers,North America
Movie,Birth of the Dragon,George Nolfi,"China, Canada, United States","Action & Adventure, Dramas",Asia
Movie,Jaws,Steven Spielberg,United States,"Action & Adventure, Classic Movies, Dramas",North America
Movie,Jaws 2,Jeannot Szwarc,United States,"Dramas, Horror Movies, Thrillers",North America
Movie,Jaws 3,Joe Alves,United States,"Action & Adventure, Horror Movies, Thrillers",North America
Movie,Jaws: The Revenge,Joseph Sargent,United States,"Action & Adventure, Horror Movies, Thrillers",North America
Movie,Safe House,Daniel Espinosa,"South Africa, United States, Japan",Action & Adventure,Africa
Movie,Training Day,Antoine Fuqua,United States,"Dramas, Thrillers",North America
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,"Action & Adventure, Anime Features, International Movies",Asia
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,"Action & Adventure, Anime Features, International Movies",Asia
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,"Action & Adventure, Anime Features, International Movies",Asia
Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,"Action & Adventure, Anime Features, International Movies",Asia
Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,"Action & Adventure, Anime Features, International Movies",Asia
Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,"Action & Adventure, Anime Features, International Movies",Asia
Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,"Action & Adventure, Anime Features, International Movies",Asia
Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,"Action & Adventure, Anime Features, International Movies",Asia
Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,"Action & Adventure, Anime Features, International Movies",Asia
